panel,x,eq6b,eq12a,eq12b,eq16A,eq16B
10b,0.4634375,2.1134803228970696,1.5074640625,1.7701389456789365,1.7697383964187072,2.1026897092332826
10b,0.465625,2.1146156804741367,1.509859375,1.7712277029629364,1.7711896595381407,2.0985434213987455
10b,0.4678125,2.115757613621698,1.5122546875,1.772312885633153,1.7726368375894292,2.0944320485413517
10b,0.47000000000000003,2.1169061416739434,1.51465,1.773394522058772,1.7740799610929299,2.0903551354395886
10b,0.4721875,2.118061284107231,1.5170453125,1.7744726402530553,1.7755190602001822,2.086312234889501
10b,0.474375,2.1192230605409668,1.519440625,1.7755472678794315,1.7769541647000513,2.082302907527141
10b,0.4765625,2.120391490738494,1.5218359375000001,1.7766184322574554,1.7783853040247402,2.0783267216557535
10b,0.47875,2.1215665946079887,1.5242312500000001,1.777686160368638,1.779812507255675,2.074383253077541
10b,0.4809375,2.122748392203367,1.5266265625000002,1.778750478862154,1.7812358031292677,2.0704720849298663
10b,0.483125,2.1239369037251965,1.529021875,1.7798114140604238,1.7826552200425576,2.066592807525766
10b,0.48531250000000004,2.1251321495216207,1.5314171875,1.780868991964581,1.7840707860587353,2.0627450181986253
10b,0.48750000000000004,2.1263341500892894,1.5338125,1.7819232382598216,1.7854825289125533,2.0589283211509075
10b,0.4896875,2.127542926074298,1.5362078124999998,1.78297417832064,1.7868904760156248,2.055142327306795
10b,0.491875,2.1287584982731382,1.5386031249999998,1.7840218372159584,1.7882946544616118,2.0513866541686387
10b,0.4940625,2.129980887633654,1.5409984374999999,1.7850662397141464,1.789695091031311,2.047660925677097
10b,0.49625,2.1312101152560095,1.54339375,1.7861074102879355,1.791091812197632,2.043964772074844
10b,0.4984375,2.1324462023936657,1.5457890625,1.7871453731192366,1.7924848441304781,2.0402978297737593
10b,0.500625,2.1336891704543643,1.548184375,1.7881801521038527,1.7938742127015272,2.0366597412254754
10b,0.5028125,2.134939041001124,1.5505796875,1.7892117708560984,1.795259943488917,2.033050154795199
10b,0.505,2.1361958357532425,1.552975,1.7902402527133243,1.796642061781835,2.0294687246387033
10b,0.5071875,2.1374595765873137,1.5553703125,1.7912656207403495,1.7980205925850208,2.0259151105823934
10b,0.509375,2.138730285538246,1.557765625,1.7922878977338024,1.7993955606231755,2.0223889780063686
10b,0.5115625,2.1400079848003006,1.5601609375,1.7933071062263792,1.800766990345286,2.0188899977303807
10b,0.51375,2.14129269672813,1.56255625,1.7943232684910093,1.8021349059288647,2.0154178459026078
10b,0.5159375,2.142584443837832,1.5649515625000001,1.7953364065449455,1.8034993312841037,2.0119722038911743
10b,0.5181250000000001,2.1438832488080144,1.5673468750000001,1.796346542153767,1.804860290057952,2.008552758178314
10b,0.5203125,2.1451891344808645,1.5697421875,1.7973536968353048,1.8062178056381097,2.0051592002571295
10b,0.5225,2.1465021238632342,1.5721375,1.798357891863491,1.8075719011569487,2.0017912265308495
10b,0.5246875,2.1478222401277325,1.5745328125,1.7993591482721318,1.8089225994953544,1.9984485382145274
10b,0.526875,2.149149506613829,1.576928125,1.800357486858604,1.8102699232864963,1.9951308412391073
10b,0.5290625,2.1504839468289694,1.5793234374999998,1.8013529281874843,1.8116138949195264,1.9918378461577917
10b,0.53125,2.151825584449698,1.5817187499999998,1.802345492594104,1.8129545365432063,1.9885692680546456
10b,0.5334375,2.153174443322795,1.5841140624999999,1.803335200188038,1.8142918700694664,1.985324826455377
10b,0.535625,2.1545305474664223,1.5865093749999999,1.8043220708565233,1.8156259171768976,1.9821042452402287
10b,0.5378125,2.1558939210712813,1.5889046875,1.805306124267816,1.8169566993141788,1.9789072525589297
10b,0.54,2.15726458850178,1.5913,1.8062873798744807,1.818284237703438,1.9757335807476424
10b,0.5421875,2.1586425742972124,1.5936953125,1.80726585691662,1.8196085533435538,1.9725829662478545
10b,0.544375,2.1600279031729523,1.596090625,1.8082415744250404,1.820929667013392,1.9694551495271653
10b,0.5465625000000001,2.161420600021651,1.5984859375,1.8092145512243611,1.8222475992749865,1.9663498750019066
10b,0.5487500000000001,2.1628206899144544,1.60088125,1.8101848059360621,1.8235623704766586,1.9632668909615572
10b,0.5509375,2.164228198102226,1.6032765625,1.8111523569814763,1.8248740007560809,1.9602059494948971
10b,0.553125,2.1656431500167868,1.605671875,1.8121172225847266,1.8261825100432838,1.957166806417856
10b,0.5553125,2.16706557127216,1.6080671875,1.813079420775607,1.8274879180636103,1.9541492212030125
10b,0.5575,2.168495487665835,1.6104625000000001,1.8140389693924104,1.8287902443406125,1.9511529569106965
10b,0.5596875,2.16993292518004,1.6128578125000002,1.8149958860847066,1.830089508198901,1.948177780121655
10b,0.561875,2.171377909983027,1.615253125,1.8159501883160671,1.8313857287669397,1.9452234608712393
10b,0.5640625,2.172830468430367,1.6176484375,1.81690189336674,1.832678924979792,1.942289772585072
10b,0.56625,2.174290627066266,1.62004375,1.8178510183362777,1.8339691155818176,1.9393764920161574
10b,0.5684375,2.1757584126248806,1.6224390625,1.8187975801461165,1.835256319129322,1.9364833991833943
10b,0.5706249999999999,2.177233852031658,1.6248343749999998,1.8197415955421086,1.8365405539931587,1.933610277311459
10b,0.5728125,2.1787169724046827,1.6272296874999999,1.8206830810970094,1.8378218383612854,1.930756912772017
10b,0.575,2.180207801056038,1.6296249999999999,1.8216220532129208,1.8391001902412756,1.9279230950262365
10b,0.5771875,2.1817063654931816,1.6320203125,1.8225585281236896,1.8403756274627865,1.9251086165685627
10b,0.579375,2.183212693420332,1.634415625,1.823492521897263,1.8416481676799834,1.9223132728717243
10b,0.5815625,2.1847268127398696,1.6368109375,1.8244240504380054,1.8429178283739227,1.919536862332942
10b,0.58375,2.1862487515537525,1.63920625,1.8253531294889693,1.8441846268548934,1.916779186221305
