mass_ratio,gamma,zeta_t,positive_frequency_integral,two_sided_integral
0.853,0.0925,0.026500000000000003,0.012172572371980155,0.02434514474396031
0.853,0.0925,0.043000000000000003,0.011343203630922862,0.022686407261845724
0.853,0.0925,0.059500000000000004,0.010846193880701481,0.021692387761402962
0.853,0.0925,0.076,0.010472932459615787,0.020945864919231574
0.853,0.0925,0.0925,0.010163016911865224,0.02032603382373045
0.853,0.0925,0.109,0.009892167508781538,0.019784335017563076
0.853,0.0925,0.1255,0.009648529352608888,0.019297058705217775
0.853,0.0925,0.14200000000000002,0.009425487550789386,0.018850975101578772
0.853,0.0925,0.15850000000000003,0.009218965499589933,0.018437930999179866
0.853,0.0925,0.17500000000000002,0.009026248472453112,0.018052496944906224
0.853,0.0925,0.1915,0.008845413074569689,0.017690826149139378
0.853,0.0925,0.20800000000000002,0.008675026466795806,0.01735005293359161
0.853,0.0925,0.22450000000000003,0.008513976808086441,0.017027953616172882
0.853,0.0925,0.24100000000000002,0.008361372210829703,0.016722744421659406
0.853,0.0925,0.2575,0.008216477619482227,0.016432955238964455
0.853,0.0925,0.274,0.008078673738848024,0.01615734747769605
0.853,0.0925,0.29050000000000004,0.007947429335407399,0.015894858670814797
0.853,0.0925,0.30700000000000005,0.007822281953487034,0.01564456390697407
0.853,0.0925,0.3235,0.007702824101475343,0.015405648202950687
0.853,0.0925,0.34,0.007588693098782639,0.015177386197565278
0.853,0.0925,0.35650000000000004,0.0074795634379022004,0.014959126875804401
0.853,0.0925,0.373,0.007375140916256911,0.014750281832513822
0.853,0.0925,0.3895,0.007275158040945487,0.014550316081890974
0.853,0.0925,0.406,0.007179370367641675,0.01435874073528335
0.853,0.0925,0.42250000000000004,0.007087553537890838,0.014175107075781675
0.853,0.0925,0.43900000000000006,0.006999500847649631,0.013999001695299261
0.853,0.0925,0.4555,0.006915021226356668,0.013830042452713336
0.853,0.0925,0.47200000000000003,0.00683393753801653,0.01366787507603306
0.853,0.0925,0.48850000000000005,0.006756085138296611,0.013512170276593223
0.853,0.0925,0.505,0.00668131063776097,0.01336262127552194
